Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
0b86f9abc1f1c0884f91a0f722e4e00fd92dfcac,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.memopad.CanvasFragment,117,56,8,25
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.memopad.MyDialogFragment,35,0,9,6
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.memopad.PadActivity,179,100,15,29
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.memopad.PaintView,265,137,26,48
6ecd27c609299a19654c3f3262efa7f6ccfcc0cb,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
f214d26006724c49baa137e308879389f4cc167e,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
f214d26006724c49baa137e308879389f4cc167e,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
f214d26006724c49baa137e308879389f4cc167e,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
f214d26006724c49baa137e308879389f4cc167e,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
f214d26006724c49baa137e308879389f4cc167e,org.zakky.memopad.CanvasFragment,117,56,8,25
f214d26006724c49baa137e308879389f4cc167e,org.zakky.memopad.MyDialogFragment,35,0,9,6
f214d26006724c49baa137e308879389f4cc167e,org.zakky.memopad.PadActivity,179,100,15,29
f214d26006724c49baa137e308879389f4cc167e,org.zakky.memopad.PaintView,265,137,26,48
f214d26006724c49baa137e308879389f4cc167e,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.memopad.CanvasFragment,117,56,8,25
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.memopad.MyDialogFragment,35,0,9,6
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.memopad.PadActivity,179,100,15,29
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.memopad.PaintView,265,137,26,48
01cfcae79cb890f2f2e1825e15e2a428390bce02,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.memopad.CanvasFragment,117,56,8,25
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.memopad.MyDialogFragment,35,0,9,6
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.memopad.PadActivity,179,100,15,29
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.memopad.PaintView,265,137,26,48
d56b6e7e484ce384731c8d59dbdab6e2090b1692,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.memopad.CanvasFragment,117,56,8,25
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.memopad.MyDialogFragment,35,0,9,6
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.memopad.PadActivity,179,100,15,29
