Commit,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
0.51,3.7,4.98,0.95
0.51,3.7,4.98,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.5,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.51,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.52,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
0.53,3.67,4.93,0.95
