Commit,LOC,LCOM,CBO,WMC
0.44,16174.0,12501.2,1562.36,3326.83
0.44,16174.0,12501.2,1562.36,3326.83
0.44,16174.0,12501.2,1562.36,3326.83
0.44,16174.0,12501.2,1562.36,3326.83
0.44,16383.95,12675.0,1579.45,3369.09
0.44,16383.95,12675.0,1579.45,3369.09
0.44,16383.95,12675.0,1579.45,3369.09
0.44,16383.95,12675.0,1579.45,3369.09
0.44,16383.95,12675.0,1579.45,3369.09
0.44,16383.95,12675.0,1579.45,3369.09
0.44,16383.95,12675.0,1579.45,3369.09
0.44,16383.95,12675.0,1579.45,3369.09
0.45,16383.95,12675.0,1579.45,3369.09
0.44,16591.67,12827.75,1597.7,3410.77
0.44,16591.67,12827.75,1597.7,3410.77
0.44,16591.67,12827.75,1597.7,3410.77
0.44,16591.67,12827.75,1597.7,3410.77
0.44,16591.67,12827.75,1597.7,3410.77
0.44,16591.67,12827.75,1597.7,3410.77
0.44,16591.67,12827.75,1597.7,3410.77
0.45,16591.67,12827.75,1597.7,3410.77
0.44,16798.16,13018.16,1614.19,3454.44
0.44,16798.16,13018.16,1614.19,3454.44
0.44,16798.16,13018.16,1614.19,3454.44
0.44,16798.16,13018.16,1614.19,3454.44
0.44,16798.16,13018.16,1614.19,3454.44
0.44,16798.16,13018.16,1614.19,3454.44
0.44,16798.16,13018.16,1614.19,3454.44
0.44,16798.16,13018.16,1614.19,3454.44
0.44,17068.79,13228.13,1640.1,3510.1
0.44,17068.79,13228.13,1640.1,3510.1
0.44,17068.79,13228.13,1640.1,3510.1
0.44,17068.79,13228.13,1640.1,3510.1
0.44,17068.79,13228.13,1640.1,3510.1
0.42,17558.2,13657.58,1684.68,3613.03
0.42,17558.2,13657.58,1684.68,3613.03
0.43,17558.2,13657.58,1684.68,3613.03
0.42,17771.56,13861.8,1706.73,3659.31
0.42,17771.56,13861.8,1706.73,3659.31
0.42,17771.56,13861.8,1706.73,3659.31
0.42,17771.56,13861.8,1706.73,3659.31
0.42,17771.56,13861.8,1706.73,3659.31
0.42,17771.56,13861.8,1706.73,3659.31
0.42,17771.56,13861.8,1706.73,3659.31
0.42,17771.56,13861.8,1706.73,3659.31
0.42,17771.56,13861.8,1706.73,3659.31
0.41,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.42,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.43,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.44,17892.71,13936.07,1717.78,3679.17
0.45,17892.71,13936.07,1717.78,3679.17
