Commit,DW_Smell,IDS_Smell,IS_Smell,LT_Smell,MIM_Smell
0.44,0.13,0.16,0.59,0.09,26.58
0.44,0.13,0.16,0.59,0.09,26.58
0.44,0.13,0.16,0.59,0.09,26.58
0.44,0.13,0.16,0.59,0.09,26.58
0.43,0.13,0.16,0.6,0.09,26.81
0.43,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.6,0.09,26.81
0.44,0.13,0.16,0.61,0.07,26.7
0.43,0.14,0.17,0.62,0.08,27.0
0.43,0.14,0.17,0.62,0.08,27.0
0.43,0.14,0.17,0.62,0.08,27.0
0.43,0.14,0.17,0.62,0.08,27.0
0.43,0.14,0.17,0.62,0.08,27.0
0.43,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.62,0.08,27.0
0.44,0.14,0.17,0.63,0.08,27.25
0.44,0.14,0.17,0.63,0.08,27.25
0.44,0.14,0.17,0.63,0.08,27.25
0.44,0.14,0.17,0.63,0.08,27.25
0.44,0.14,0.17,0.63,0.08,27.25
0.44,0.14,0.17,0.63,0.08,27.25
0.44,0.14,0.17,0.63,0.08,27.25
0.44,0.14,0.17,0.63,0.08,27.25
0.45,0.14,0.17,0.63,0.08,27.25
0.44,0.14,0.16,0.62,0.08,27.55
0.44,0.14,0.16,0.62,0.08,27.55
0.44,0.14,0.16,0.62,0.08,27.55
0.44,0.14,0.16,0.62,0.08,27.55
0.44,0.14,0.16,0.62,0.08,27.55
0.44,0.14,0.16,0.62,0.08,27.55
0.44,0.14,0.16,0.62,0.08,27.55
0.45,0.14,0.16,0.62,0.08,27.55
0.44,0.13,0.16,0.63,0.08,27.94
0.44,0.13,0.16,0.63,0.08,27.94
0.44,0.13,0.16,0.63,0.08,27.94
0.44,0.13,0.16,0.63,0.08,27.94
0.44,0.13,0.16,0.63,0.08,27.94
0.44,0.13,0.16,0.63,0.08,27.94
0.44,0.13,0.16,0.63,0.08,27.94
0.44,0.13,0.16,0.63,0.08,27.94
