Commit,Decor_Feature_Envy,Decor_long_Method
0.49,10.1,2.9
0.49,10.1,2.9
0.49,10.1,2.9
0.49,10.1,2.9
0.5,10.1,2.9
0.5,10.1,2.9
0.5,10.1,2.9
0.5,10.1,2.9
0.49,10.3,2.96
0.49,10.3,2.96
0.49,10.3,2.96
0.49,10.3,2.96
0.49,10.3,2.96
0.48,9.74,3.0
0.48,9.74,3.0
0.48,9.74,3.0
0.48,9.74,3.0
0.48,9.74,3.0
0.48,9.74,3.0
0.48,9.74,3.0
0.47,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.48,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.49,9.89,2.91
0.5,9.89,2.91
0.5,9.89,2.91
0.5,9.89,2.91
0.5,9.89,2.91
0.5,9.89,2.91
0.5,9.89,2.91
0.5,9.89,2.91
0.5,9.89,2.91
0.5,9.89,2.91
0.49,7.45,2.91
0.49,7.45,2.91
0.49,7.45,2.91
0.49,7.45,2.91
0.49,7.45,2.91
0.49,7.45,2.91
0.49,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.5,7.45,2.91
0.51,7.45,2.91
0.51,7.45,2.91
0.51,7.45,2.91
0.51,7.45,2.91
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.5,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.51,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.52,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.53,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.54,7.51,2.84
0.55,7.51,2.84
0.54,7.6,2.9
0.54,7.6,2.9
0.54,7.6,2.9
0.53,7.56,2.98
0.53,7.56,2.98
0.53,7.56,2.98
0.53,7.56,2.98
0.53,7.56,2.98
0.53,7.56,2.98
0.53,7.56,2.98
0.53,7.56,2.98
0.52,7.75,3.05
0.52,7.75,3.05
0.52,7.75,3.05
0.52,7.75,3.05
0.52,7.75,3.05
0.51,7.9,3.13
0.51,7.9,3.13
0.51,7.9,3.13
0.51,7.9,3.13
0.51,7.9,3.13
0.51,7.9,3.13
0.51,7.9,3.13
0.51,7.9,3.13
0.51,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.52,7.9,3.13
0.51,8.11,3.21
0.51,8.11,3.21
0.51,8.11,3.21
0.51,8.11,3.21
0.51,8.11,3.21
0.51,8.11,3.21
0.51,8.11,3.21
0.51,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
